alpha,attempts,std_mean
0.2,1,0.2
0.2,2,0.1414213562373095
0.2,3,0.11547005383792516
0.2,4,0.1
0.2,5,0.08944271909999159
0.2,6,0.08164965809277261
0.2,7,0.07559289460184544
0.2,8,0.07071067811865475
0.2,9,0.06666666666666667
0.2,10,0.06324555320336758
0.2,11,0.06030226891555273
0.2,12,0.05773502691896258
0.2,13,0.05547001962252292
0.2,14,0.05345224838248488
0.2,15,0.051639777949432225
0.2,16,0.05
0.2,17,0.048507125007266595
0.2,18,0.047140452079103175
0.2,19,0.04588314677411235
0.2,20,0.044721359549995794
0.2,21,0.043643578047198484
0.2,22,0.04264014327112209
0.2,23,0.04170288281141496
0.2,24,0.040824829046386304
0.2,25,0.04
0.2,26,0.03922322702763681
0.2,27,0.03849001794597505
0.2,28,0.03779644730092272
0.2,29,0.037139067635410375
0.2,30,0.03651483716701107
0.2,31,0.03592106040535498
0.2,32,0.035355339059327376
0.2,33,0.03481553119113957
0.2,34,0.03429971702850177
0.2,35,0.033806170189140665
0.2,36,0.03333333333333333
0.2,37,0.03287979746107146
0.2,38,0.03244428422615251
0.2,39,0.03202563076101743
0.2,40,0.03162277660168379
0.2,41,0.031234752377721216
0.2,42,0.030860669992418384
0.2,43,0.030499714066520935
0.2,44,0.030151134457776365
0.2,45,0.029814239699997195
0.2,46,0.02948839123097943
0.2,47,0.029172998299578912
0.2,48,0.02886751345948129
0.2,49,0.028571428571428574
0.2,50,0.0282842712474619
0.2,51,0.028005601680560196
0.2,52,0.02773500981126146
0.2,53,0.027472112789737806
0.2,54,0.02721655269759087
0.2,55,0.026967994498529685
0.2,56,0.02672612419124244
0.2,57,0.026490647141300876
0.2,58,0.02626128657194451
0.2,59,0.026037782196164778
0.2,60,0.025819888974716113
0.2,61,0.0256073759865792
0.2,62,0.0254000254000381
0.2,63,0.02519763153394848
0.2,64,0.025
0.2,65,0.024806946917841695
0.2,66,0.024618298195866545
0.2,67,0.024433888871261043
0.2,68,0.024253562503633298
0.2,69,0.02407717061715384
0.2,70,0.023904572186687872
0.2,71,0.023735633163877067
0.2,72,0.023570226039551587
0.2,73,0.023408229439226116
0.2,74,0.02324952774876386
0.2,75,0.02309401076758503
0.2,76,0.022941573387056175
0.2,77,0.022792115291927588
