alpha,theoretical_mean,theoretical_variance,empirical_mean,empirical_variance,final_running_mean,attempts
0.2,0.5599999999999999,0.04000000000000001,0.5563098955950836,0.03523317029636732,0.5563098955950838,200
0.5,0.35,0.25,0.3318772213729105,0.2674891250459829,0.3318772213729105,200
0.8,0.13999999999999996,0.6400000000000001,0.12299295115432027,0.6856745318685812,0.12299295115432027,200
